MessageType,TransmissionType,SessionID,AircraftID,HexIdent,FlightID,DateGenerated,TimeGenerated,DateLogged,TimeLogged,Callsign,Altitude,GroundSpeed,Track,Latitude,Longitude,VerticalRate,Squawk,Alert,Emergency,SPI,IsOnGround
MSG,3,,,4401D4,,2025/11/19,13:14:04.584,2025/11/19,13:14:04.584,ICA4401D4,39560,414.0,8.0,48.88162,9.31483,,,0,0,0,0
MSG,3,,,112C78,,2025/11/19,13:14:04.586,2025/11/19,13:14:04.586,FLR112C78,4082,12.0,129.0,46.23620,12.79797,,,0,0,0,0
MSG,3,,,4B4434,,2025/11/19,13:14:04.590,2025/11/19,13:14:04.590,ICA4B4434,10804,1.0,180.0,46.07862,7.31662,,,0,0,0,0
MSG,3,,,4401D4,,2025/11/19,13:14:04.596,2025/11/19,13:14:04.596,ICA4401D4,39567,413.0,8.0,48.88163,9.31483,,,0,0,0,0
MSG,3,,,48E89E,,2025/11/19,13:14:04.598,2025/11/19,13:14:04.598,ICA48E89E,1985,81.0,292.0,51.43880,19.72865,,,0,0,0,0
MSG,3,,,3FF569,,2025/11/19,13:14:04.599,2025/11/19,13:14:04.599,D-MDQX,2507,80.0,132.0,49.62023,11.28155,,,0,0,0,0
MSG,3,,,4B027F,,2025/11/19,13:14:04.601,2025/11/19,13:14:04.601,ICA4B027F,14078,288.0,237.0,46.07210,5.81475,,,0,0,0,0
MSG,3,,,D030BB,,2025/11/19,13:14:04.604,2025/11/19,13:14:04.604,FLRD030BB,4489,0.0,270.0,-26.67518,27.08352,,,0,0,0,0
MSG,3,,,,,,,,,,,,,,,,,,,,
MSG,3,,,346188,,2025/11/19,13:14:04.611,2025/11/19,13:14:04.611,ICA346188,15409,274.0,173.0,43.14418,-2.02530,,,0,0,0,0
MSG,3,,,FB0790,,2025/11/19,13:14:04.614,2025/11/19,13:14:04.614,FLRFB0790,1702,44.0,334.0,52.88312,-1.58585,,,0,0,0,0
MSG,3,,,3C1459,,2025/11/19,13:14:04.617,2025/11/19,13:14:04.617,ICA3C1459,836,,,,,,,,,,
MSG,3,,,3B75F0,,2025/11/19,13:14:04.620,2025/11/19,13:14:04.620,ICA3B75F0,5493,220.0,352.0,46.65793,-0.57987,,,0,0,0,0
MSG,3,,,3C6586,,2025/11/19,13:14:04.622,2025/11/19,13:14:04.622,D-AILF,11893,320.0,226.0,50.53257,9.71475,,,0,0,0,0
MSG,3,,,3FFC4A,,2025/11/19,13:14:04.623,2025/11/19,13:14:04.623,D-MOMO,3143,111.0,170.0,48.63057,9.54837,,,0,0,0,0
MSG,3,,,4ACB02,,2025/11/19,13:14:04.626,2025/11/19,13:14:04.626,ICA4ACB02,34068,416.0,210.0,47.13112,1.41292,,,0,0,0,0
MSG,3,,,FE6765,,2025/11/19,13:14:04.628,2025/11/19,13:14:04.628,FLRFE6765,2693,23.0,34.0,42.59883,-4.33018,,,0,0,0,0
MSG,3,,,A745E9,,2025/11/19,13:14:04.630,2025/11/19,13:14:04.630,ICAA745E9,17817,291.0,356.0,27.43055,-81.97417,,,0,0,0,0
MSG,3,,,48ADA6,,2025/11/19,13:14:04.632,2025/11/19,13:14:04.632,ICA48ADA6,4612,217.0,212.0,50.53335,19.43947,,,0,0,0,0
MSG,3,,,FD6390,,2025/11/19,13:14:04.639,2025/11/19,13:14:04.639,FLRFD6390,1929,85.0,140.0,43.81923,4.68997,,,0,0,0,0
MSG,3,,,400B0F,,2025/11/19,13:14:04.641,,,,,,,,,,,,,,
MSG,3,,,3D12BD,,2025/11/19,13:14:04.643,2025/11/19,13:14:04.643,FLR3D12BD,3484,118.0,40.0,49.68407,12.29710,,,0,0,0,0
MSG,3,,,0A0024,,2025/11/19,13:14:04.646,2025/11/19,13:14:04.646,7T-VJQ,13926,338.0,222.0,50.70557,4.01950,,,0,0,0,0
MSG,3,,,111B5C,,2025/11/19,13:14:04.652,2025/11/19,13:14:04.652,FLR111B5C,2786,15.0,136.0,28.14975,-16.74580,,,0,0,,
MSG,3,,,201DA1,,2025/11/19,13:14:04.656,2025/11/19,13:14:04.656,FLR201DA1,3078,0.0,271.0,28.14173,-16.73147,,,0,0,0,0
MSG,3,,,11421C,,2025/11/19,13:14:04.659,2025/11/19,13:14:04.659,FLR11421C,121,0.0,0.0,-34.00783,22.66868,,,0,0,0,0
MSG,3,,,3D0D57,,2025/11/19,13:14:04.660,2025/11/19,13:14:04.660,D-EDHN,1762,100.0,137.0,48.62890,9.40823,,,0,0,0,0
MSG,3,,,3FFC4A,,2025/11/19,13:14:04.661,2025/11/19,13:14:04.661,D-MOMO,3143,111.0,170.0,48.63057,9.54837,,,0,0,0,0
